date,afred_1_day,afred_2_day,afred_3_day,record_Id,record_Id_0
,,,,0,
2023-08-18,10,8,6,1,0
2023-08-17,10,7,6,2,0
2023-08-16,14,10,7,3,0
2023-08-15,9,14,10,4,0
2023-08-14,6,9,14,5,0
2023-08-13,5,6,9,6,0
2023-08-12,5,5,6,7,0
2023-08-11,6,5,7,8,0
2023-08-10,6,6,5,9,0
2023-08-09,8,6,6,10,0
2023-08-08,14,8,6,11,0
2023-08-07,24,14,9,12,0
2023-08-06,9,14,9,13,0
2023-08-05,9,9,14,14,0
2023-08-04,20,13,9,15,0
2023-08-03,10,20,13,16,0
2023-08-02,9,13,20,17,0
2023-08-01,14,9,6,18,0
2023-07-31,23,14,9,19,0
2023-07-30,8,23,14,20,0
2023-07-29,11,8,23,21,0
2023-07-28,8,11,8,22,0
2023-07-27,6,6,12,23,0
2023-07-26,17,8,6,24,0
2023-07-25,15,18,8,25,0
2023-07-24,10,8,18,26,0
2023-07-23,9,10,5,27,0
2023-07-22,8,9,10,28,0
2023-07-21,15,8,9,29,0
2023-07-20,15,11,8,30,0
