date,speed,fluence,fluence_day_two,fluence_day_three,fluence_day_four,record_Id,record_Id_0
,,,,,,0,
2023-07-08,429,31000000,24000000,23000000,23000000,1,0
2023-07-09,391,42000000,21000000,16000000,23000000,2,0
2023-07-10,359,41000000,23000000,9800000,16000000,3,0
2023-07-11,326,20000000,8800000,4600000,11000000,4,0
2023-07-12,318,15000000,5600000,3700000,6000000,5,0
2023-07-13,317,8800000,9200000,2300000,3600000,6,0
2023-07-14,381,1800000,2300000,5000000,9500000,7,0
2023-07-15,390,1200000,1900000,7000000,6800000,8,0
2023-07-16,388,1300000,1700000,6800000,6200000,9,0
2023-07-17,512,1200000,3900000,49000000,51000000,10,0
2023-07-18,500,26000000,190000000,150000000,110000000,11,0
2023-07-19,442,55000000,27000000,62000000,49000000,12,0
2023-07-20,390,56000000,10000000,14000000,18000000,13,0
2023-07-21,401,6600000,10000000,21000000,26000000,14,0
2023-07-22,434,2600000,2800000,28000000,33000000,15,0
2023-07-23,434,4200000,4300000,23000000,21000000,16,0
2023-07-24,407,8000000,3400000,7800000,7700000,17,0
2023-07-25,396,5800000,4900000,5100000,7300000,18,0
2023-07-26,508,5300000,39000000,69000000,81000000,19,0
2023-07-27,455,15000000,9100000,19000000,8000000,20,0
2023-07-28,398,28000000,24000000,9000000,5800000,21,0
2023-07-29,389,27000000,14000000,6300000,4500000,22,0
2023-07-30,480,15000000,33000000,29000000,34000000,23,0
2023-07-31,382,22000000,6600000,4000000,3000000,24,0
2023-08-01,400,33000000,110000000,11000000,9100000,25,0
2023-08-02,387,1300000,870000,7200000,5600000,26,0
2023-08-03,349,1100000,340000,1400000,1200000,27,0
2023-08-04,406,1400000,3100000,5500000,5000000,28,0
2023-08-05,382,1200000,550000,1500000,1100000,29,0
2023-08-06,362,1500000,1200000,1100000,810000,30,0
2023-08-07,476,1100000,11000000,11000000,6500000,31,0
2023-08-08,483,22000000,34000000,18000000,13000000,32,0
2023-08-09,406,46000000,20000000,5900000,5800000,33,0
2023-08-10,419,35000000,31000000,11000000,22000000,34,0
2023-08-11,452,48000000,27000000,11000000,17000000,35,0
2023-08-12,432,42000000,51000000,8800000,8400000,36,0
2023-08-13,376,59000000,38000000,4200000,4300000,37,0
2023-08-14,346,48000000,17000000,2100000,1900000,38,0
2023-08-15,301,22000000,9000000,840000,720000,39,0
2023-08-16,303,12000000,5900000,610000,710000,40,0
2023-08-17,327,1300000,990000,720000,740000,41,0
2023-08-18,460,1500000,12000000,12000000,19000000,42,0
2023-08-19,475,2700000,6800000,22000000,25000000,43,0
2023-08-20,595,1300000,6100000,180000000,310000000,44,0
2023-08-21,587,4800000,11000000,230000000,130000000,45,0
2023-08-22,475,8100000,5800000,55000000,49000000,46,0
2023-08-23,426,12000000,6000000,26000000,17000000,47,0
2023-08-24,431,11000000,9500000,24000000,28000000,48,0
2023-08-25,402,3400000,1300000,9200000,7400000,49,0
2023-08-26,433,5500000,12000000,20000000,15000000,50,0
2023-08-27,393,3900000,2000000,7400000,5500000,51,0
2023-08-28,329,5500000,1800000,1600000,950000,52,0
2023-08-29,340,2600000,1600000,1200000,1600000,53,0
2023-08-30,323,1500000,500000,560000,460000,54,0
2023-08-31,347,1200000,1900000,1100000,1900000,55,0
2023-09-01,436,1300000,3000000,4500000,8100000,56,0
2023-09-02,530,5000000,29000000,29000000,44000000,57,0
2023-09-03,480,19000000,34000000,20000000,16000000,58,0
2023-09-04,408,17000000,12000000,6700000,6300000,59,0
2023-09-05,406,40000000,29000000,6900000,8700000,60,0
